GEOID,NAME,variable,estimate,moe,year
51001,"Accomack County, Virginia",B19013_001,41372,1614,2010
51003,"Albemarle County, Virginia",B19013_001,64847,2443,2010
51005,"Alleghany County, Virginia",B19013_001,43160,2560,2010
51007,"Amelia County, Virginia",B19013_001,50135,4590,2010
51009,"Amherst County, Virginia",B19013_001,44757,2542,2010
51011,"Appomattox County, Virginia",B19013_001,49224,3188,2010
51013,"Arlington County, Virginia",B19013_001,94880,2016,2010
51015,"Augusta County, Virginia",B19013_001,50612,1706,2010
51017,"Bath County, Virginia",B19013_001,50589,6470,2010
51019,"Bedford County, Virginia",B19013_001,54110,2469,2010
51021,"Bland County, Virginia",B19013_001,41552,2093,2010
51023,"Botetourt County, Virginia",B19013_001,64724,3600,2010
51025,"Brunswick County, Virginia",B19013_001,35184,2884,2010
51027,"Buchanan County, Virginia",B19013_001,29183,2181,2010
51029,"Buckingham County, Virginia",B19013_001,34720,4849,2010
51031,"Campbell County, Virginia",B19013_001,43478,1227,2010
51033,"Caroline County, Virginia",B19013_001,57690,2746,2010
51035,"Carroll County, Virginia",B19013_001,36142,2348,2010
51036,"Charles City County, Virginia",B19013_001,46337,3910,2010
51037,"Charlotte County, Virginia",B19013_001,34881,3431,2010
51041,"Chesterfield County, Virginia",B19013_001,71321,1171,2010
51043,"Clarke County, Virginia",B19013_001,73244,7456,2010
51045,"Craig County, Virginia",B19013_001,51291,3188,2010
51047,"Culpeper County, Virginia",B19013_001,65132,3080,2010
51049,"Cumberland County, Virginia",B19013_001,40143,5067,2010
51051,"Dickenson County, Virginia",B19013_001,29080,2035,2010
51053,"Dinwiddie County, Virginia",B19013_001,51459,3195,2010
51057,"Essex County, Virginia",B19013_001,46235,3274,2010
51059,"Fairfax County, Virginia",B19013_001,105416,785,2010
51061,"Fauquier County, Virginia",B19013_001,83877,3262,2010
51063,"Floyd County, Virginia",B19013_001,42044,4653,2010
51065,"Fluvanna County, Virginia",B19013_001,68223,6451,2010
51067,"Franklin County, Virginia",B19013_001,45555,2005,2010
51069,"Frederick County, Virginia",B19013_001,61973,2361,2010
51071,"Giles County, Virginia",B19013_001,41186,2516,2010
51073,"Gloucester County, Virginia",B19013_001,59331,3533,2010
51075,"Goochland County, Virginia",B19013_001,79574,6645,2010
51077,"Grayson County, Virginia",B19013_001,32178,2494,2010
51079,"Greene County, Virginia",B19013_001,54307,3231,2010
51081,"Greensville County, Virginia",B19013_001,38574,2229,2010
51083,"Halifax County, Virginia",B19013_001,34705,2126,2010
51085,"Hanover County, Virginia",B19013_001,76425,2039,2010
51087,"Henrico County, Virginia",B19013_001,60114,957,2010
51089,"Henry County, Virginia",B19013_001,34086,1699,2010
51091,"Highland County, Virginia",B19013_001,43481,3442,2010
51093,"Isle of Wight County, Virginia",B19013_001,62242,2875,2010
51095,"James City County, Virginia",B19013_001,73903,2649,2010
51097,"King and Queen County, Virginia",B19013_001,44442,6668,2010
51099,"King George County, Virginia",B19013_001,76241,5114,2010
51101,"King William County, Virginia",B19013_001,64946,4739,2010
51103,"Lancaster County, Virginia",B19013_001,45209,3209,2010
51105,"Lee County, Virginia",B19013_001,31352,1958,2010
51107,"Loudoun County, Virginia",B19013_001,115574,1662,2010
51109,"Louisa County, Virginia",B19013_001,54257,3385,2010
51111,"Lunenburg County, Virginia",B19013_001,37424,3372,2010
51113,"Madison County, Virginia",B19013_001,56608,4992,2010
51115,"Mathews County, Virginia",B19013_001,47435,7277,2010
51117,"Mecklenburg County, Virginia",B19013_001,36431,2048,2010
51119,"Middlesex County, Virginia",B19013_001,50207,6804,2010
51121,"Montgomery County, Virginia",B19013_001,43229,2004,2010
51125,"Nelson County, Virginia",B19013_001,48118,2742,2010
51127,"New Kent County, Virginia",B19013_001,70590,3153,2010
51131,"Northampton County, Virginia",B19013_001,35760,2783,2010
51133,"Northumberland County, Virginia",B19013_001,51944,5359,2010
51135,"Nottoway County, Virginia",B19013_001,37344,4315,2010
51137,"Orange County, Virginia",B19013_001,54916,2589,2010
51139,"Page County, Virginia",B19013_001,41617,2708,2010
51141,"Patrick County, Virginia",B19013_001,35813,2943,2010
51143,"Pittsylvania County, Virginia",B19013_001,39224,1685,2010
51145,"Powhatan County, Virginia",B19013_001,73593,4504,2010
51147,"Prince Edward County, Virginia",B19013_001,36191,3509,2010
51149,"Prince George County, Virginia",B19013_001,64171,4849,2010
51153,"Prince William County, Virginia",B19013_001,91098,1303,2010
51155,"Pulaski County, Virginia",B19013_001,41163,1982,2010
51157,"Rappahannock County, Virginia",B19013_001,62117,10447,2010
51159,"Richmond County, Virginia",B19013_001,42182,4104,2010
51161,"Roanoke County, Virginia",B19013_001,59446,2044,2010
51163,"Rockbridge County, Virginia",B19013_001,44417,3422,2010
51165,"Rockingham County, Virginia",B19013_001,49930,1476,2010
51167,"Russell County, Virginia",B19013_001,32780,3280,2010
51169,"Scott County, Virginia",B19013_001,34250,4008,2010
51171,"Shenandoah County, Virginia",B19013_001,50171,2173,2010
51173,"Smyth County, Virginia",B19013_001,34864,1846,2010
51175,"Southampton County, Virginia",B19013_001,45426,3892,2010
51177,"Spotsylvania County, Virginia",B19013_001,76574,2144,2010
51179,"Stafford County, Virginia",B19013_001,93065,2009,2010
51181,"Surry County, Virginia",B19013_001,55030,6767,2010
51183,"Sussex County, Virginia",B19013_001,37978,2893,2010
51185,"Tazewell County, Virginia",B19013_001,35215,2231,2010
51187,"Warren County, Virginia",B19013_001,60522,2299,2010
51191,"Washington County, Virginia",B19013_001,40422,1680,2010
51193,"Westmoreland County, Virginia",B19013_001,52990,2109,2010
51195,"Wise County, Virginia",B19013_001,33608,1758,2010
51197,"Wythe County, Virginia",B19013_001,38948,2206,2010
51199,"York County, Virginia",B19013_001,81055,2581,2010
51510,"Alexandria city, Virginia",B19013_001,80847,1300,2010
51515,"Bedford city, Virginia",B19013_001,32262,5742,2010
51520,"Bristol city, Virginia",B19013_001,32079,3798,2010
51530,"Buena Vista city, Virginia",B19013_001,39955,4458,2010
51540,"Charlottesville city, Virginia",B19013_001,42240,2176,2010
51550,"Chesapeake city, Virginia",B19013_001,67855,1559,2010
51570,"Colonial Heights city, Virginia",B19013_001,50571,4192,2010
51580,"Covington city, Virginia",B19013_001,35277,3135,2010
51590,"Danville city, Virginia",B19013_001,29936,1633,2010
51595,"Emporia city, Virginia",B19013_001,32788,3857,2010
51600,"Fairfax city, Virginia",B19013_001,97900,6198,2010
51610,"Falls Church city, Virginia",B19013_001,114409,7073,2010
51620,"Franklin city, Virginia",B19013_001,33174,2271,2010
51630,"Fredericksburg city, Virginia",B19013_001,43558,2589,2010
51640,"Galax city, Virginia",B19013_001,22333,7377,2010
51650,"Hampton city, Virginia",B19013_001,49815,1011,2010
51660,"Harrisonburg city, Virginia",B19013_001,37235,3082,2010
51670,"Hopewell city, Virginia",B19013_001,37789,2954,2010
51678,"Lexington city, Virginia",B19013_001,31571,9820,2010
51680,"Lynchburg city, Virginia",B19013_001,37058,1718,2010
51683,"Manassas city, Virginia",B19013_001,75173,4179,2010
51685,"Manassas Park city, Virginia",B19013_001,70299,3757,2010
51690,"Martinsville city, Virginia",B19013_001,32408,2272,2010
51700,"Newport News city, Virginia",B19013_001,49562,1194,2010
51710,"Norfolk city, Virginia",B19013_001,42677,989,2010
51720,"Norton city, Virginia",B19013_001,33944,11189,2010
51730,"Petersburg city, Virginia",B19013_001,36449,1987,2010
51735,"Poquoson city, Virginia",B19013_001,84315,9301,2010
51740,"Portsmouth city, Virginia",B19013_001,45488,1462,2010
51750,"Radford city, Virginia",B19013_001,29155,3646,2010
51760,"Richmond city, Virginia",B19013_001,38266,876,2010
51770,"Roanoke city, Virginia",B19013_001,36422,1381,2010
51775,"Salem city, Virginia",B19013_001,48828,3216,2010
51790,"Staunton city, Virginia",B19013_001,42724,3117,2010
51800,"Suffolk city, Virginia",B19013_001,65104,2834,2010
51810,"Virginia Beach city, Virginia",B19013_001,64618,1005,2010
51820,"Waynesboro city, Virginia",B19013_001,40977,2511,2010
51830,"Williamsburg city, Virginia",B19013_001,50794,5115,2010
51840,"Winchester city, Virginia",B19013_001,44873,2868,2010
51001,"Accomack County, Virginia",B19013_001,41595,2223,2011
51003,"Albemarle County, Virginia",B19013_001,65934,3178,2011
51005,"Alleghany County, Virginia",B19013_001,44329,2864,2011
51007,"Amelia County, Virginia",B19013_001,51540,3363,2011
51009,"Amherst County, Virginia",B19013_001,44383,3254,2011
51011,"Appomattox County, Virginia",B19013_001,47992,4743,2011
51013,"Arlington County, Virginia",B19013_001,99651,2368,2011
51015,"Augusta County, Virginia",B19013_001,51719,1979,2011
51017,"Bath County, Virginia",B19013_001,52500,4199,2011
51019,"Bedford County, Virginia",B19013_001,56021,3050,2011
51021,"Bland County, Virginia",B19013_001,42864,3021,2011
51023,"Botetourt County, Virginia",B19013_001,65633,3250,2011
51025,"Brunswick County, Virginia",B19013_001,34170,2639,2011
51027,"Buchanan County, Virginia",B19013_001,30606,2412,2011
51029,"Buckingham County, Virginia",B19013_001,36378,3276,2011
51031,"Campbell County, Virginia",B19013_001,45992,2106,2011
51033,"Caroline County, Virginia",B19013_001,58707,4260,2011
51035,"Carroll County, Virginia",B19013_001,35841,2497,2011
51036,"Charles City County, Virginia",B19013_001,47093,3456,2011
51037,"Charlotte County, Virginia",B19013_001,37173,5132,2011
51041,"Chesterfield County, Virginia",B19013_001,72886,1094,2011
51043,"Clarke County, Virginia",B19013_001,77048,7572,2011
51045,"Craig County, Virginia",B19013_001,54120,8369,2011
51047,"Culpeper County, Virginia",B19013_001,66458,3224,2011
51049,"Cumberland County, Virginia",B19013_001,45184,4865,2011
51051,"Dickenson County, Virginia",B19013_001,30556,1975,2011
51053,"Dinwiddie County, Virginia",B19013_001,50583,3104,2011
51057,"Essex County, Virginia",B19013_001,44581,3499,2011
51059,"Fairfax County, Virginia",B19013_001,108439,1018,2011
51061,"Fauquier County, Virginia",B19013_001,87958,3763,2011
51063,"Floyd County, Virginia",B19013_001,40761,4699,2011
51065,"Fluvanna County, Virginia",B19013_001,68615,7846,2011
51067,"Franklin County, Virginia",B19013_001,47606,2144,2011
51069,"Frederick County, Virginia",B19013_001,66440,2923,2011
51071,"Giles County, Virginia",B19013_001,43012,2835,2011
51073,"Gloucester County, Virginia",B19013_001,62067,3108,2011
51075,"Goochland County, Virginia",B19013_001,81288,6215,2011
51077,"Grayson County, Virginia",B19013_001,31599,2013,2011
51079,"Greene County, Virginia",B19013_001,58550,3277,2011
51081,"Greensville County, Virginia",B19013_001,42000,4510,2011
51083,"Halifax County, Virginia",B19013_001,34889,2455,2011
51085,"Hanover County, Virginia",B19013_001,77506,2228,2011
51087,"Henrico County, Virginia",B19013_001,61206,1096,2011
51089,"Henry County, Virginia",B19013_001,33695,1287,2011
51091,"Highland County, Virginia",B19013_001,43045,3704,2011
51093,"Isle of Wight County, Virginia",B19013_001,64925,3459,2011
51095,"James City County, Virginia",B19013_001,75938,2459,2011
51097,"King and Queen County, Virginia",B19013_001,48170,6058,2011
51099,"King George County, Virginia",B19013_001,82173,6210,2011
51101,"King William County, Virginia",B19013_001,64982,5617,2011
51103,"Lancaster County, Virginia",B19013_001,46625,2702,2011
51105,"Lee County, Virginia",B19013_001,32588,2306,2011
51107,"Loudoun County, Virginia",B19013_001,120096,1831,2011
51109,"Louisa County, Virginia",B19013_001,56502,4224,2011
51111,"Lunenburg County, Virginia",B19013_001,35210,2840,2011
51113,"Madison County, Virginia",B19013_001,59734,5208,2011
51115,"Mathews County, Virginia",B19013_001,54118,7739,2011
51117,"Mecklenburg County, Virginia",B19013_001,36069,2730,2011
51119,"Middlesex County, Virginia",B19013_001,53615,7237,2011
51121,"Montgomery County, Virginia",B19013_001,44231,1557,2011
51125,"Nelson County, Virginia",B19013_001,47426,3930,2011
51127,"New Kent County, Virginia",B19013_001,71198,3353,2011
51131,"Northampton County, Virginia",B19013_001,36965,3216,2011
51133,"Northumberland County, Virginia",B19013_001,51256,5014,2011
51135,"Nottoway County, Virginia",B19013_001,37507,3425,2011
51137,"Orange County, Virginia",B19013_001,56837,3429,2011
51139,"Page County, Virginia",B19013_001,43435,3818,2011
51141,"Patrick County, Virginia",B19013_001,36057,2577,2011
51143,"Pittsylvania County, Virginia",B19013_001,40333,1551,2011
51145,"Powhatan County, Virginia",B19013_001,76235,3072,2011
51147,"Prince Edward County, Virginia",B19013_001,36789,3431,2011
51149,"Prince George County, Virginia",B19013_001,62924,2942,2011
51153,"Prince William County, Virginia",B19013_001,95531,1370,2011
51155,"Pulaski County, Virginia",B19013_001,40987,2671,2011
51157,"Rappahannock County, Virginia",B19013_001,64113,8445,2011
51159,"Richmond County, Virginia",B19013_001,46456,4614,2011
51161,"Roanoke County, Virginia",B19013_001,62895,2529,2011
51163,"Rockbridge County, Virginia",B19013_001,45489,3737,2011
51165,"Rockingham County, Virginia",B19013_001,51775,1283,2011
51167,"Russell County, Virginia",B19013_001,32555,3771,2011
51169,"Scott County, Virginia",B19013_001,35846,2525,2011
51171,"Shenandoah County, Virginia",B19013_001,50535,1963,2011
51173,"Smyth County, Virginia",B19013_001,34533,2130,2011
51175,"Southampton County, Virginia",B19013_001,46733,2451,2011
51177,"Spotsylvania County, Virginia",B19013_001,78299,2850,2011
51179,"Stafford County, Virginia",B19013_001,94658,2586,2011
51181,"Surry County, Virginia",B19013_001,53505,10154,2011
51183,"Sussex County, Virginia",B19013_001,40088,4282,2011
51185,"Tazewell County, Virginia",B19013_001,36436,1964,2011
51187,"Warren County, Virginia",B19013_001,61379,3293,2011
51191,"Washington County, Virginia",B19013_001,41526,2385,2011
51193,"Westmoreland County, Virginia",B19013_001,52258,3914,2011
51195,"Wise County, Virginia",B19013_001,34717,1717,2011
51197,"Wythe County, Virginia",B19013_001,40920,2898,2011
51199,"York County, Virginia",B19013_001,83747,2780,2011
51510,"Alexandria city, Virginia",B19013_001,82899,2058,2011
51515,"Bedford city, Virginia",B19013_001,34647,6988,2011
51520,"Bristol city, Virginia",B19013_001,32122,4468,2011
51530,"Buena Vista city, Virginia",B19013_001,35426,6316,2011
51540,"Charlottesville city, Virginia",B19013_001,43980,2536,2011
51550,"Chesapeake city, Virginia",B19013_001,70115,1721,2011
51570,"Colonial Heights city, Virginia",B19013_001,51396,2641,2011
51580,"Covington city, Virginia",B19013_001,36242,2496,2011
51590,"Danville city, Virginia",B19013_001,31011,1338,2011
51595,"Emporia city, Virginia",B19013_001,30481,3691,2011
51600,"Fairfax city, Virginia",B19013_001,99300,6555,2011
51610,"Falls Church city, Virginia",B19013_001,120332,6622,2011
51620,"Franklin city, Virginia",B19013_001,33956,3047,2011
51630,"Fredericksburg city, Virginia",B19013_001,44498,2703,2011
51640,"Galax city, Virginia",B19013_001,24711,7479,2011
51650,"Hampton city, Virginia",B19013_001,51083,889,2011
51660,"Harrisonburg city, Virginia",B19013_001,37850,3693,2011
51670,"Hopewell city, Virginia",B19013_001,36477,1914,2011
51678,"Lexington city, Virginia",B19013_001,33670,5545,2011
51680,"Lynchburg city, Virginia",B19013_001,37733,1631,2011
51683,"Manassas city, Virginia",B19013_001,73091,2867,2011
51685,"Manassas Park city, Virginia",B19013_001,70137,5740,2011
51690,"Martinsville city, Virginia",B19013_001,32440,2502,2011
51700,"Newport News city, Virginia",B19013_001,50942,1254,2011
51710,"Norfolk city, Virginia",B19013_001,43914,790,2011
51720,"Norton city, Virginia",B19013_001,36944,13373,2011
51730,"Petersburg city, Virginia",B19013_001,36289,1982,2011
51735,"Poquoson city, Virginia",B19013_001,86611,10015,2011
51740,"Portsmouth city, Virginia",B19013_001,46340,1273,2011
51750,"Radford city, Virginia",B19013_001,29101,3920,2011
51760,"Richmond city, Virginia",B19013_001,39201,985,2011
51770,"Roanoke city, Virginia",B19013_001,37753,1299,2011
51775,"Salem city, Virginia",B19013_001,48050,1817,2011
51790,"Staunton city, Virginia",B19013_001,42757,2498,2011
51800,"Suffolk city, Virginia",B19013_001,65351,2257,2011
51810,"Virginia Beach city, Virginia",B19013_001,65910,866,2011
51820,"Waynesboro city, Virginia",B19013_001,43605,2447,2011
51830,"Williamsburg city, Virginia",B19013_001,50742,5472,2011
51840,"Winchester city, Virginia",B19013_001,46065,3082,2011
51001,"Accomack County, Virginia",B19013_001,40780,2248,2012
51003,"Albemarle County, Virginia",B19013_001,67797,2442,2012
51005,"Alleghany County, Virginia",B19013_001,46133,3214,2012
51007,"Amelia County, Virginia",B19013_001,50596,5072,2012
